"Author","Affiliation","Last Active"
"Bousso, Raphael","LBNL, Berkeley","2020"
"Quevedo, Fernando","Cambridge U., DAMTP","2020"
"Flauger, Raphael","UC, San Diego","2019"
"Lucas, Peter","Fermilab","2011"
"Childress, Sam","Fermilab","2011"
"Doe, John","Texas U., Arlington","2011"
"Aymar, Robert","CERN","2011"
"Chu, Steven","Stanford U.","2011"
"McMillan, Edwin","Texas U., Arlington","2011"
"Bush, George","Texas U., Arlington","2011"
"Jackson, Andrew","Texas U., Arlington","2011"
"Dodelson, Scott","Unknown","2009"
"Easther, Richard","Unknown","2009"
"Hanany, Shaul","Unknown","2009"
"McAllister, Liam","Unknown","2009"
"Meyer, Stephan","Unknown","2009"
"Page, Lyman","Unknown","2009"
"Ade, Peter","Unknown","2009"
"Amblard, Alexandre","Unknown","2009"
"Ashoorioon, Amjad","Unknown","2009"
"Baccigalupi, Carlo","Unknown","2009"
"Balbi, Amedeo","Unknown","2009"
"Bartlett, James","Unknown","2009"
"Bartolo, Nicola","Unknown","2009"
"Baumann, Daniel","Unknown","2009"
"Beltran, Maria","Unknown","2009"
"Benford, Dominic","Unknown","2009"
"Birkinshaw, Mark","Unknown","2009"
"Bock, Jamie","Unknown","2009"
"Bond, Dick","Unknown","2009"
"Borrill, Julian","Unknown","2009"
"Bouchet, Francois","Unknown","2009"
"Bridges, Michael","Unknown","2009"
"Bunn, Emory","Unknown","2009"
"Calabrese, Erminia","Unknown","2009"
"Cantalupo, Christopher","Unknown","2009"
"Caramete, Ana","Unknown","2009"
"Carbone, Carmelita","Unknown","2009"
"Carroll, Sean","Unknown","2009"
"Chatterjee, Suchetana","Unknown","2009"
"Chen, Xingang","Unknown","2009"
"Church, Sarah","Unknown","2009"
"Chuss, David","Unknown","2009"
"Contaldi, Carlo R.","Unknown","2009"
"Cooray, Asantha R.","Unknown","2009"
"Creminelli, Paolo","Unknown","2009"
"Das, Sudeep","Unknown","2009"
"De Bernardis, Francesco","Unknown","2009"
"de Bernardis, Paolo","Unknown","2009"
"Delabrouille, Jacques","Unknown","2009"
"Desert, F.Xavier","Unknown","2009"
"Devlin, Mark J.","Unknown","2009"
"Dickinson, Clive","Unknown","2009"
"Dicker, Simon","Unknown","2009"
"DiPirro, Michael","Unknown","2009"
"Dobbs, Matt A.","Unknown","2009"
"Dore, Olivier","Unknown","2009"
"Dotson, Jessie","Unknown","2009"
"Dunkley, Joanna","Unknown","2009"
"Dvorkin, Cora","Unknown","2009"
"Eriksen, H.K.","Unknown","2009"
"Falvella, Maria Cristina","Unknown","2009"
"Finley, Dave","Unknown","2009"
"Finkbeiner, Douglas P.","Unknown","2009"
"Fixsen, Dale","Unknown","2009"
"Fosalba, Pablo","Unknown","2009"
"Fowler, Joseph W.","Unknown","2009"
"Galli, Silvia","Unknown","2009"
"Gates, Evalyn I.","Unknown","2009"
"Gear, Walter","Unknown","2009"
"Giraud-Heraud, Yannick","Unknown","2009"
"Gorski, Krzysztof","Unknown","2009"
"Greene, Brian","Unknown","2009"
"Gruppuso, Alessandro","Unknown","2009"
"Gundersen, Joshua","Unknown","2009"
"Halpern, Mark","Unknown","2009"
"Hamilton, Jean-Christophe","Unknown","2009"
"Hazumi, Masashi","Unknown","2009"
"Hernandez-Monteagudo, Carlos","Unknown","2009"
"Hertzberg, Mark","Unknown","2009"
"Hinshaw, Gary","Unknown","2009"
"Hirata, Christopher","Unknown","2009"
"Hivon, Eric","Unknown","2009"
"Holman, Richard","Unknown","2009"
"Holmes, Warren","Unknown","2009"
"Hu, Wayne","Unknown","2009"
"Hubmayr, Johannes","Unknown","2009"
"Huffenberger, Kevin","Unknown","2009"
"Hui, Howard","Unknown","2009"
"Hui, Lam","Unknown","2009"
"Irwin, Kent","Unknown","2009"
"Jackson, Mark","Unknown","2009"
"Jaffe, Andrew H.","Unknown","2009"
"Johnson, Bradley","Unknown","2009"
"Johnson, Dean","Unknown","2009"
"Jones, William","Unknown","2009"
"Kachru, Shamit","Unknown","2009"
"Kadota, Kenji","Unknown","2009"
"Kaplan, Jean","Unknown","2009"
"Kaplinghat, Manoj","Unknown","2009"
"Keating, Brian G.","Unknown","2009"
"Keskitalo, Reijo","Unknown","2009"
"Khoury, Justin","Unknown","2009"
"Kinney, William H.","Unknown","2009"
"Kisner, Theodore","Unknown","2009"
"Knox, Lloyd","Unknown","2009"
"Kodama, Hideo","Unknown","2009"
"Kogut, Alan","Unknown","2009"
"Komatsu, Eiichiro","Unknown","2009"
"Kosowsky, Arthur","Unknown","2009"
"Kovac, John","Unknown","2009"
"Krauss, Lawrence M.","Unknown","2009"
"Kurki-Suonio, Hannu","Unknown","2009"
"Lamarre, Jean-Michel","Unknown","2009"
"Landau, Susana Judith","Unknown","2009"
"Lawrence, Charles","Unknown","2009"
"Leach, Samuel M.","Unknown","2009"
"Leblond, Louis","Unknown","2009"
"Lee, Adrian","Unknown","2009"
"Leitch, Erik","Unknown","2009"
"Leonardi, Rodrigo","Unknown","2009"
"Lesgourgues, Julien","Unknown","2009"
"Liddle, Andrew R.","Unknown","2009"
"Lim, Eugene A.","Unknown","2009"
"Limon, Michele","Unknown","2009"
"LoVerde, Marilena","Unknown","2009"
"Lubin, Philip","Unknown","2009"
"Lunghi, Enrico","Unknown","2009"
"Lykken, Joseph D.","Unknown","2009"
"MacTavish, Carolyn","Unknown","2009"
"Magalhaes, Antonio","Unknown","2009"
"Maino, Davide","Unknown","2009"
"Martin, Victoria","Unknown","2009"
"Matarrese, Sabino","Unknown","2009"
"Mather, John C.","Unknown","2009"
"Mathur, Harsh","Unknown","2009"
"Matsumura, Tomotake","Unknown","2009"
"Meerburg, Pieter","Unknown","2009"
"Melchiorri, Alessandro","Unknown","2009"
"Mersini-Houghton, Laura","Unknown","2009"
"Miller, Amber","Unknown","2009"
"Milligan, Michael","Unknown","2009"
"Moodley, Kavilan","Unknown","2009"
"Neimack, Michael","Unknown","2009"
"Nguyen, Hogan","Unknown","2009"
"Nicolis, Alberto","Unknown","2009"
"O'Dwyer, Ian","Unknown","2009"
"Olinto, Angela","Unknown","2009"
"Pagano, Luca","Unknown","2009"
"Pajer, Enrico","Unknown","2009"
"Partridge, Bruce","Unknown","2009"
"Pearson, Timothy","Unknown","2009"
"Peiris, Hiranya V.","Unknown","2009"
"Peloso, Marco","Unknown","2009"
"Piacentini, Francesco","Unknown","2009"
"Piat, Michel","Unknown","2009"
"Piccirillo, Lucio","Unknown","2009"
"Pierpaoli, Elena","Unknown","2009"
"Pietrobon, Davide","Unknown","2009"
"Pisano, Giampaolo","Unknown","2009"
